date,avg_max_temp,avg_min_temp,avg_mean_temp
2024-01-01,0.08863636363636364,-3.8545454545454545,-1.8903409090909091
2024-01-02,2.1375,-2.775,-0.3096590909090909
2024-01-03,2.3738636363636365,-0.4636363636363636,0.9727272727272729
2024-01-04,2.2590909090909093,-6.521022727272728,-2.1267045454545452
2024-01-05,1.0153409090909091,-5.3857954545454545,-2.20625
2024-01-06,0.34602272727272726,-6.067045454545455,-2.880113636363636
2024-01-07,-2.7323863636363637,-7.389204545454546,-5.055113636363636
2024-01-08,0.3880681818181818,-5.20625,-2.3960227272727272
2024-01-09,3.044318181818182,-4.6744318181818185,-0.8107954545454545
2024-01-10,2.177840909090909,-4.81875,-1.3039772727272727
2024-01-11,-3.725568181818182,-8.555113636363636,-6.127840909090909
2024-01-12,-5.86875,-10.840340909090909,-8.357954545454545
2024-01-13,-2.2113636363636364,-11.094318181818181,-6.665909090909091
2024-01-14,-6.5732954545454545,-13.848863636363637,-10.189204545454546
2024-01-15,-6.596590909090909,-13.922727272727272,-10.267613636363636
2024-01-16,-6.9583892617449665,-12.709395973154363,-9.833557046979866
2024-01-17,-7.918181818181818,-13.20284090909091,-10.55625
2024-01-18,-5.765909090909091,-10.500568181818181,-8.121590909090909
2024-01-19,-7.1238636363636365,-14.636363636363637,-10.910227272727273
2024-01-20,-6.7079545454545455,-12.774431818181819,-9.708522727272728
2024-01-21,-4.1886363636363635,-10.089204545454546,-7.117045454545455
2024-01-22,-1.017613636363636,-6.978977272727272,-4.017613636363636
2024-01-23,2.5102272727272728,-4.3352272727272725,-0.8909090909090909
2024-01-24,1.7613636363636365,-3.5267045454545456,-0.9005681818181818
2024-01-25,3.6482954545454547,-0.3886363636363636,1.5926136363636363
2024-01-26,5.297159090909091,0.4590909090909093,2.886931818181818
2024-01-27,5.099431818181818,0.21761363636363637,2.6460227272727272
2024-01-28,5.64375,1.4767045454545453,3.5636363636363635
2024-01-29,4.584090909090909,-0.7835227272727273,1.8676136363636364
2024-01-30,4.101136363636364,-1.330681818181818,1.4227272727272726
2024-01-31,6.188068181818182,-0.7568181818181818,2.71875
2024-02-01,6.7534090909090905,2.7488636363636365,4.771590909090909
2024-02-02,5.502272727272727,-1.2232954545454546,2.1522727272727273
2024-02-03,2.29375,-3.2261363636363636,-0.4693181818181818
2024-02-04,1.9664772727272728,-4.896022727272728,-1.486931818181818
2024-02-05,2.1636363636363636,-3.733522727272727,-0.7653409090909091
2024-02-06,1.7426136363636364,-3.616477272727273,-0.9409090909090909
2024-02-07,2.1079545454545454,-3.043181818181818,-0.47556818181818183
2024-02-08,5.110795454545454,-0.846590909090909,2.1607954545454544
2024-02-09,8.565909090909091,0.5625,4.577272727272727
2024-02-10,8.50909090909091,0.42954545454545456,4.4721590909090905
2024-02-11,4.296590909090909,1.0619318181818183,2.6875
2024-02-12,3.834090909090909,-1.9414772727272727,0.946590909090909
2024-02-13,3.3164772727272727,-5.607386363636364,-1.1454545454545455
2024-02-14,-1.0244318181818184,-8.094886363636364,-4.59375
2024-02-15,-0.6255681818181816,-6.9721590909090905,-3.7732954545454547
2024-02-16,1.5159090909090909,-7.1022727272727275,-2.7755681818181817
2024-02-17,-0.7494318181818181,-8.428977272727273,-4.614772727272728
2024-02-18,2.0022727272727274,-7.684659090909091,-2.8625
2024-02-19,-0.06136363636363636,-8.806818181818182,-4.447727272727272
2024-02-20,1.6602272727272727,-5.769318181818182,-2.0579545454545456
2024-02-21,7.330625,-3.495625,1.930625
2024-02-22,8.361363636363636,2.0375,5.206818181818182
2024-02-23,9.35909090909091,-5.2823863636363635,2.034659090909091
2024-02-24,-1.8670454545454545,-9.034659090909091,-5.421022727272727
2024-02-25,4.529545454545454,-6.750568181818182,-1.1005681818181818
2024-02-26,4.823863636363637,-3.152840909090909,0.8176136363636364
2024-02-27,6.740909090909091,-3.175,1.7982954545454541
2024-02-28,10.217045454545454,-8.539204545454545,0.8340909090909091
2024-02-29,-2.03125,-8.32784090909091,-5.190340909090909
2024-03-01,2.711931818181818,-7.078409090909091,-2.1676136363636362
2024-03-02,3.052840909090909,-1.2545454545454546,0.8846590909090909
2024-03-03,3.299431818181818,-1.6590909090909092,0.8113636363636364
2024-03-04,6.002272727272727,-1.7335227272727274,2.1045454545454545
2024-03-05,8.726136363636364,0.024431818181818183,4.3625
2024-03-06,4.485795454545454,-1.371590909090909,1.55
2024-03-07,7.563068181818182,-2.663068181818182,2.45
2024-03-08,7.298863636363636,-0.7414772727272727,3.275
2024-03-09,8.433522727272727,1.972159090909091,5.202840909090909
2024-03-10,5.877272727272727,-1.1903409090909092,2.309659090909091
2024-03-11,6.740909090909091,-1.5136363636363637,2.6142045454545455
2024-03-12,10.840909090909092,0.8875,5.85625
2024-03-13,12.415909090909091,1.9346590909090908,7.172159090909091
2024-03-14,11.070454545454545,2.3625,6.701136363636364
2024-03-15,11.447727272727272,2.7590909090909093,7.091477272727273
2024-03-16,9.923295454545455,1.5085227272727273,5.7102272727272725
2024-03-17,10.586363636363636,1.3517045454545455,6.002840909090909
2024-03-18,6.935227272727273,0.3971590909090909,3.659090909090909
2024-03-19,3.909659090909091,-1.7340909090909091,1.0999999999999999
2024-03-20,3.151136363636364,-3.709090909090909,-0.2784090909090911
2024-03-21,0.540340909090909,-5.589204545454545,-2.5545454545454547
2024-03-22,-1.19375,-6.2585227272727275,-3.713636363636364
2024-03-23,0.35738636363636345,-5.2625,-2.45
2024-03-24,1.865909090909091,-5.384090909090909,-1.7460227272727271
